127.0.0.1 - - [08/Mar/2016:11:41:28 -0500] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [08/Mar/2016:11:41:29 -0500] "GET /portalweb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2016:11:41:33 -0500] "GET /portalweb/index.htm;jsessionid=A27BB3FB64E2256474B7C52ACEB1EE91 HTTP/1.1" 200 7708
0:0:0:0:0:0:0:1 - - [08/Mar/2016:11:41:33 -0500] "GET /style/css/about.css HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [08/Mar/2016:11:41:33 -0500] "GET /style/css/style.css HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [08/Mar/2016:11:41:33 -0500] "GET /style/js/AdNature.js HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [08/Mar/2016:11:41:34 -0500] "GET /portalweb/style/Search%20Bar%203.png HTTP/1.1" 200 8592
0:0:0:0:0:0:0:1 - - [08/Mar/2016:11:41:34 -0500] "GET /portalweb/style/Walking.jpg HTTP/1.1" 200 16635
0:0:0:0:0:0:0:1 - - [08/Mar/2016:11:41:34 -0500] "GET /portalweb/style/Soccer.png HTTP/1.1" 200 159571
0:0:0:0:0:0:0:1 - - [08/Mar/2016:11:41:34 -0500] "GET /portalweb/style/Canoeing.png HTTP/1.1" 200 340551
0:0:0:0:0:0:0:1 - - [08/Mar/2016:11:41:34 -0500] "GET /portalweb/style/Door.jpg HTTP/1.1" 200 31559
0:0:0:0:0:0:0:1 - - [08/Mar/2016:11:41:34 -0500] "GET /portalweb/style/logo.png HTTP/1.1" 200 576904
0:0:0:0:0:0:0:1 - - [08/Mar/2016:11:41:34 -0500] "GET /portalweb/style/Map.png HTTP/1.1" 200 50687
0:0:0:0:0:0:0:1 - - [08/Mar/2016:11:41:34 -0500] "GET /portalweb/style/facebook.png HTTP/1.1" 200 34462
0:0:0:0:0:0:0:1 - - [08/Mar/2016:11:41:34 -0500] "GET /portalweb/style/Locations.PNG HTTP/1.1" 200 54289
0:0:0:0:0:0:0:1 - - [08/Mar/2016:11:41:34 -0500] "GET /portalweb/style/twitter.png HTTP/1.1" 200 27482
0:0:0:0:0:0:0:1 - - [08/Mar/2016:11:41:34 -0500] "GET /portalweb/style/instagram40x40.png HTTP/1.1" 200 5154
0:0:0:0:0:0:0:1 - - [08/Mar/2016:11:41:34 -0500] "GET /portalweb/style/outdoors.png HTTP/1.1" 200 143467
0:0:0:0:0:0:0:1 - - [08/Mar/2016:11:41:46 -0500] "GET /portalweb/index.htm HTTP/1.1" 200 7708
0:0:0:0:0:0:0:1 - - [08/Mar/2016:11:41:46 -0500] "GET /style/css/about.css HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [08/Mar/2016:11:41:46 -0500] "GET /style/css/style.css HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [08/Mar/2016:11:41:46 -0500] "GET /style/js/AdNature.js HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [08/Mar/2016:11:41:46 -0500] "GET /portalweb/style/Locations.PNG HTTP/1.1" 304 -
